brand,myntra_name,purplle_name,myntra_price,purplle_price
lakme,Lakme 9To5 Primer & Matte Perfect Cover Foundation - Cool Walnut C380 25 ml,Lakme 9 To 5 Primer + Matte Perfect Cover Foundation - Cool Walnut C380 (25 ml),157,289.0
lakme,Lakme 9 to 5 Primer + Matte Lip Color - Scarlet Surge,Lakme 9TO5 Primer + Matte Lip Color Scarlet Surge 3.6 g,165,275.0
lakme,Lakme Absolute 3D Eye Brow Definer - Graphite,Lakme Absolute 3D Eye Brow Definer Graphite (1.19 g),536,619.0
lakme,Lakme Lip Love Gelato Chapstick - Fresh Orange,Lakme Lip Love Gelato Chapstick - Fresh Orange,139,155.0
lakme,Lakme Absolute 3d Lip Definer - Crimson 02,Lakme Absolute 3D Lip Definer  Crimson  1.2g,375,525.0
mamaearth,Mamaearth CoCo Body Lotion with Coffee & Cocoa for Intense Moisturization 400 ml,Mamaearth CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization (400 ml) (Packof 2),404,450.0
mcaffeine,MCaffeine Dark Circle Reduction Combo,mCaffeine Dark Circle Reduction Combo,941,1148.0
mcaffeine,MCaffeine Coffee Body Scrub 55g & Almond Body Wash 200ml for Exfoliation & Tan Removal,mCaffeine Coffee Body Scrub & Almond Body Wash for Exfoliation & Tan Removal,390,558.0
mcaffeine,MCaffeine Green Tea Face Serum With Multi-Peptides 30 ml,mCaffeine Green Tea Face Serum with Multi-Peptides,503,539.0
plum,Plum Green Tea Range Pore Cleansing Face Wash - 120 ml,Plum Green Tea Pore Cleansing Face Wash (120 ml),183,254.0
plum,Plum Green Tea Renewed Clarity Night Gel,Plum Green Tea Renewed Clarity Night Gel (50 ml),136,405.0
plum,Plum BodyLovin' Orchid-You-Not Eau De Parfum - 15 ml,Plum BodyLovin' Orchid You Not Eau De Parfum,206,614.0
swiss-beauty,SWISS BEAUTY Liquid Concealer - Light Moyen 03,Swiss Beauty Liquid concealer - Light-Moyen (6 g),171,174.0
swiss-beauty,SWISS BEAUTY 3D Studio Effect Eyelashes - Vamp,Swiss Beauty 3D Studio Effect Eyelashes - Drama,112,129.0
swiss-beauty,SWISS BEAUTY 3D Studio Effect Eyelashes - Vamp,Swiss Beauty 3D Studio Effect Eyelashes - VAMP,112,129.0
swiss-beauty,SWISS BEAUTY High Shine Glitter Nail Polish - 10,Swiss Beauty High Shine Glitter Nail Polish 7 (12 ml),107,127.0
